partition,ntasks,ntasks_per_node,block_size,transfer_size,access_type,toolchain,IO_perf,IO_type
gpu_a100,8,8,256m,2m,POSIX,foss_2023,Max Read: 14913.18 MiB/sec (15637.61 MB/sec),read
gpu_a100,8,8,256m,2m,POSIX,foss_2023,Max Write: 3250.12 MiB/sec (3408.00 MB/sec),write
gpu_a100,8,8,256m,4m,POSIX,foss_2023,Max Read: 44985.21 MiB/sec (47170.41 MB/sec),read
gpu_a100,8,8,256m,4m,POSIX,foss_2023,Max Write: 3271.20 MiB/sec (3430.10 MB/sec),write
gpu_a100,8,8,256m,8m,POSIX,foss_2023,Max Read: 41802.51 MiB/sec (43833.11 MB/sec),read
gpu_a100,8,8,256m,8m,POSIX,foss_2023,Max Write: 2787.53 MiB/sec (2922.94 MB/sec),write
gpu_a100,8,8,256m,16m,POSIX,foss_2023,Max Read: 35734.97 MiB/sec (37470.84 MB/sec),read
gpu_a100,8,8,256m,16m,POSIX,foss_2023,Max Write: 5275.15 MiB/sec (5531.40 MB/sec),write
gpu_a100,8,8,256m,256m,POSIX,foss_2023,Max Read: 34881.04 MiB/sec (36575.43 MB/sec),read
gpu_a100,8,8,256m,256m,POSIX,foss_2023,Max Write: 4026.17 MiB/sec (4221.74 MB/sec),write
gpu_a100,8,8,512m,2m,POSIX,foss_2023,Max Read: 24872.12 MiB/sec (26080.31 MB/sec),read
gpu_a100,8,8,512m,2m,POSIX,foss_2023,Max Write: 1861.02 MiB/sec (1951.42 MB/sec),write
gpu_a100,8,8,512m,4m,POSIX,foss_2023,Max Read: 23823.67 MiB/sec (24980.93 MB/sec),read
gpu_a100,8,8,512m,4m,POSIX,foss_2023,Max Write: 3300.88 MiB/sec (3461.22 MB/sec),write
gpu_a100,8,8,512m,8m,POSIX,foss_2023,Max Read: 11367.04 MiB/sec (11919.20 MB/sec),read
gpu_a100,8,8,512m,8m,POSIX,foss_2023,Max Write: 2073.35 MiB/sec (2174.06 MB/sec),write
gpu_a100,8,8,512m,16m,POSIX,foss_2023,Max Read: 14035.39 MiB/sec (14717.17 MB/sec),read
gpu_a100,8,8,512m,16m,POSIX,foss_2023,Max Write: 4512.81 MiB/sec (4732.02 MB/sec),write
gpu_a100,8,8,512m,256m,POSIX,foss_2023,Max Read: 15118.62 MiB/sec (15853.03 MB/sec),read
gpu_a100,8,8,512m,256m,POSIX,foss_2023,Max Write: 3349.99 MiB/sec (3512.72 MB/sec),write
gpu_a100,8,8,1g,2m,POSIX,foss_2023,Max Read: 5596.67 MiB/sec (5868.54 MB/sec),read
gpu_a100,8,8,1g,2m,POSIX,foss_2023,Max Write: 4655.96 MiB/sec (4882.13 MB/sec),write
gpu_a100,8,8,1g,4m,POSIX,foss_2023,Max Read: 13329.89 MiB/sec (13977.41 MB/sec),read
gpu_a100,8,8,1g,4m,POSIX,foss_2023,Max Write: 4517.15 MiB/sec (4736.58 MB/sec),write
gpu_a100,8,8,1g,8m,POSIX,foss_2023,Max Read: 11402.34 MiB/sec (11956.22 MB/sec),read
gpu_a100,8,8,1g,8m,POSIX,foss_2023,Max Write: 5353.45 MiB/sec (5613.50 MB/sec),write
gpu_a100,8,8,1g,16m,POSIX,foss_2023,Max Read: 5576.79 MiB/sec (5847.69 MB/sec),read
gpu_a100,8,8,1g,16m,POSIX,foss_2023,Max Write: 3735.34 MiB/sec (3916.79 MB/sec),write
gpu_a100,8,8,1g,256m,POSIX,foss_2023,Max Read: 7936.54 MiB/sec (8322.06 MB/sec),read
gpu_a100,8,8,1g,256m,POSIX,foss_2023,Max Write: 6587.68 MiB/sec (6907.68 MB/sec),write
gpu_a100,8,8,2g,2m,POSIX,foss_2023,Max Read: 4953.47 MiB/sec (5194.09 MB/sec),read
gpu_a100,8,8,2g,2m,POSIX,foss_2023,Max Write: 4728.12 MiB/sec (4957.79 MB/sec),write
gpu_a100,8,8,2g,4m,POSIX,foss_2023,Max Read: 3769.50 MiB/sec (3952.61 MB/sec),read
gpu_a100,8,8,2g,4m,POSIX,foss_2023,Max Write: 2925.50 MiB/sec (3067.61 MB/sec),write
gpu_a100,8,8,2g,8m,POSIX,foss_2023,Max Read: 4506.71 MiB/sec (4725.63 MB/sec),read
gpu_a100,8,8,2g,8m,POSIX,foss_2023,Max Write: 3572.68 MiB/sec (3746.22 MB/sec),write
gpu_a100,8,8,2g,16m,POSIX,foss_2023,Max Read: 6623.98 MiB/sec (6945.75 MB/sec),read
gpu_a100,8,8,2g,16m,POSIX,foss_2023,Max Write: 3984.84 MiB/sec (4178.41 MB/sec),write
gpu_a100,8,8,2g,256m,POSIX,foss_2023,Max Read: 8880.69 MiB/sec (9312.08 MB/sec),read
gpu_a100,8,8,2g,256m,POSIX,foss_2023,Max Write: 3600.29 MiB/sec (3775.18 MB/sec),write
gpu_a100,8,8,4g,2m,POSIX,foss_2023,Max Read: 3478.43 MiB/sec (3647.40 MB/sec),read
gpu_a100,8,8,4g,2m,POSIX,foss_2023,Max Write: 3162.80 MiB/sec (3316.43 MB/sec),write
gpu_a100,8,8,4g,4m,POSIX,foss_2023,Max Read: 3691.38 MiB/sec (3870.69 MB/sec),read
gpu_a100,8,8,4g,4m,POSIX,foss_2023,Max Write: 2940.30 MiB/sec (3083.12 MB/sec),write
gpu_a100,8,8,4g,8m,POSIX,foss_2023,Max Read: 3478.48 MiB/sec (3647.45 MB/sec),read
gpu_a100,8,8,4g,8m,POSIX,foss_2023,Max Write: 3403.44 MiB/sec (3568.77 MB/sec),write
gpu_a100,8,8,4g,16m,POSIX,foss_2023,Max Read: 5395.14 MiB/sec (5657.22 MB/sec),read
gpu_a100,8,8,4g,16m,POSIX,foss_2023,Max Write: 7555.88 MiB/sec (7922.92 MB/sec),write
gpu_a100,8,8,4g,256m,POSIX,foss_2023,Max Read: 3599.07 MiB/sec (3773.90 MB/sec),read
gpu_a100,8,8,4g,256m,POSIX,foss_2023,Max Write: 3314.10 MiB/sec (3475.09 MB/sec),write
gpu_a100,8,8,8g,2m,POSIX,foss_2023,Max Read: 3761.39 MiB/sec (3944.11 MB/sec),read
gpu_a100,8,8,8g,2m,POSIX,foss_2023,Max Write: 5209.02 MiB/sec (5462.05 MB/sec),write
gpu_a100,8,8,8g,4m,POSIX,foss_2023,Max Read: 3917.55 MiB/sec (4107.85 MB/sec),read
gpu_a100,8,8,8g,4m,POSIX,foss_2023,Max Write: 5395.47 MiB/sec (5657.56 MB/sec),write
gpu_a100,8,8,8g,8m,POSIX,foss_2023,Max Read: 3103.70 MiB/sec (3254.47 MB/sec),read
gpu_a100,8,8,8g,8m,POSIX,foss_2023,Max Write: 3487.64 MiB/sec (3657.06 MB/sec),write
gpu_a100,8,8,8g,16m,POSIX,foss_2023,Max Read: 3520.55 MiB/sec (3691.56 MB/sec),read
gpu_a100,8,8,8g,16m,POSIX,foss_2023,Max Write: 3283.80 MiB/sec (3443.32 MB/sec),write
gpu_a100,8,8,8g,256m,POSIX,foss_2023,Max Read: 4316.27 MiB/sec (4525.94 MB/sec),read
gpu_a100,8,8,8g,256m,POSIX,foss_2023,Max Write: 4650.31 MiB/sec (4876.20 MB/sec),write
gpu_a100,8,8,16g,2m,POSIX,foss_2023,Max Read: 6009.70 MiB/sec (6301.62 MB/sec),read
gpu_a100,8,8,16g,2m,POSIX,foss_2023,Max Write: 4692.03 MiB/sec (4919.95 MB/sec),write
gpu_a100,8,8,16g,4m,POSIX,foss_2023,Max Read: 5747.42 MiB/sec (6026.61 MB/sec),read
gpu_a100,8,8,16g,4m,POSIX,foss_2023,Max Write: 5121.21 MiB/sec (5369.98 MB/sec),write
gpu_a100,8,8,16g,8m,POSIX,foss_2023,Max Read: 3830.73 MiB/sec (4016.81 MB/sec),read
gpu_a100,8,8,16g,8m,POSIX,foss_2023,Max Write: 4309.86 MiB/sec (4519.22 MB/sec),write
gpu_a100,8,8,16g,16m,POSIX,foss_2023,Max Read: 6617.11 MiB/sec (6938.54 MB/sec),read
gpu_a100,8,8,16g,16m,POSIX,foss_2023,Max Write: 5246.64 MiB/sec (5501.50 MB/sec),write
gpu_a100,8,8,16g,256m,POSIX,foss_2023,Max Read: 4234.02 MiB/sec (4439.69 MB/sec),read
gpu_a100,8,8,16g,256m,POSIX,foss_2023,Max Write: 3475.77 MiB/sec (3644.60 MB/sec),write
